sampledate,Time,hour,temp,lux,time
6/18/13,10:00,10,NA,77156.1,10.00
6/18/13,10:15,10,NA,55111.5,10.25
6/18/13,10:30,10,NA,38578,10.50
6/18/13,10:45,10,NA,55111.5,10.75
6/18/13,11:00,11,NA,46844.8,11.00
6/18/13,11:15,11,NA,110223,11.25
6/18/13,11:30,11,NA,88178.4,11.50
6/18/13,11:45,11,NA,132267.5,11.75
6/18/13,12:00,12,NA,35822.5,12.00
6/18/13,12:15,12,NA,42711.4,12.25
6/18/13,12:30,12,NA,44089.2,12.50
6/18/13,12:45,12,NA,88178.4,12.75
6/18/13,13:00,13,NA,93689.5,13.00
6/18/13,13:15,13,NA,115734.1,13.25
6/18/13,13:30,13,NA,99200.7,13.50
6/18/13,13:45,13,NA,88178.4,13.75
6/18/13,14:00,14,NA,16533.4,14.00
6/18/13,14:15,14,NA,52355.9,14.25
6/18/13,14:30,14,NA,22044.6,14.50
6/18/13,14:45,14,NA,31689.1,14.75
6/18/13,15:00,15,NA,15844.5,15.00
6/18/13,15:15,15,NA,21355.7,15.25
6/18/13,15:30,15,NA,23422.4,15.50
6/18/13,15:45,15,NA,77156.1,15.75
6/18/13,16:00,16,NA,22044.6,16.00
6/18/13,16:15,16,NA,30311.3,16.25
6/18/13,16:30,16,NA,121245.2,16.50
6/18/13,16:45,16,NA,35822.5,16.75
6/18/13,17:00,17,NA,34444.7,17.00
6/18/13,17:15,17,NA,41333.6,17.25
6/18/13,17:30,17,NA,31689.1,17.50
6/18/13,17:45,17,NA,24800.2,17.75
6/18/13,18:00,18,NA,35822.5,18.00
6/18/13,18:15,18,NA,31689.1,18.25
6/18/13,18:30,18,NA,22044.6,18.50
6/18/13,18:45,18,NA,16533.4,18.75
6/18/13,19:00,19,NA,14466.8,19.00
6/18/13,19:15,19,NA,55111.5,19.25
6/18/13,19:30,19,NA,24800.2,19.50
6/18/13,19:45,19,NA,16533.4,19.75
6/18/13,20:00,20,NA,12400.1,20.00
6/18/13,20:15,20,NA,12400.1,20.25
6/18/13,20:30,20,NA,7233.4,20.50
6/18/13,20:45,20,NA,5166.7,20.75
6/18/13,21:00,21,NA,5166.7,21.00
6/18/13,21:15,21,NA,6200,21.25
6/18/13,21:30,21,NA,8266.7,21.50
